,pp,df,rg,fc,dh,sh,fcxr,mfcr,if
eval_accuracy,1.0,0.0,0.7981065609863496,0.4791792395896198,0.2802950474183351,0.0,0.0,0.7721943048576214,0.0
eval_precision,0.30712890625,0.0,0.5394345238095238,0.5094642284247674,0.5507246376811594,0.0,0.0,0.6385041551246537,0.0
