,pp,df,rg,fc,dh,sh,fcxr,mfcr,if
eval_accuracy,0.9952305246422893,0.9010175763182239,0.9482606781153676,0.8964996982498491,0.8651211801896733,0.7105263157894737,0.842901878914405,0.8693467336683417,0.25
eval_precision,0.9165446559297218,0.9818548387096774,0.9463854098000439,0.9479897894065092,0.6981292517006803,0.9,0.8415841584158416,0.8693467336683417,0.75
