,Metrics,Values,Model
0,eval_balanced_accuracy,0.8087671762097359,rf
1,eval_absolute_accuracy,0.9064935064935065,rf
2,eval_recall,0.9064935064935065,rf
3,eval_precision,0.9109405859448912,rf
4,eval_f1,0.9074054111124286,rf
5,eval_fit_time,376.72496604919434,rf
6,eval_score_time,1.4140615463256836,rf
7,eval_roc_auc,0.9927102049435437,rf
8,eval_log_loss,0.29856990314236315,rf
