,pp,df,rg,fc,dh,sh,fcxr,mfcr,if
eval_accuracy,0.9554848966613673,0.0,0.7714663143989432,0.5054315027157513,0.5911485774499473,0.0,0.3663883089770355,0.6465661641541038,0.0
eval_precision,0.8943452380952381,0.0,0.5435086086551885,0.5939716312056738,0.48825065274151436,0.0,0.5387567152724482,0.5522174535050072,0.0
