,pp,df,rg,fc,dh,sh,fcxr,mfcr,if
eval_accuracy,0.6216216216216216,0.5337650323774283,0.6279172170849846,0.22631261315630657,0.8609062170706007,0.9736842105263158,0.5391440501043842,0.8174204355108877,0.75
eval_precision,0.42592592592592593,0.40691114245416077,0.631252766710934,0.6596306068601583,0.4054590570719603,0.08726415094339622,0.5529978586723768,0.688293370944993,0.21686746987951808
