model,train_bal_acc,train_absolute_accuracy,train_rec,train_prec,train_f1,test_bal_acc,test_absolute_accuracy,test_rec,test_prec,test_f1,fit_time,score_time,train_roc,train_ll,test_roc,test_ll
MajorityClassBaseline,0.11111111111111112,0.37392373923739236,0.37392373923739236,0.13981896276527342,0.2035323486627883,0.11111111111111112,0.37392373923739236,0.37392373923739236,0.13981896276527342,0.2035323486627883,0.004166316986083984,0.013489961624145508,,,,
RandomForest,0.962723600863385,0.9910871416406473,0.9910871416406473,0.9910915868188294,0.9910682358121905,0.8236651049939784,0.9383479988646041,0.9383479988646041,0.9382696782878245,0.937918101544574,3.555348110198975,0.01937389373779297,0.9999039436251704,0.09866285063812788,0.9956482417998684,0.25922716234879006
rf_bal,0.7566353676428399,0.6042908506008138,0.6042908506008138,0.6383184415788346,0.6032194401756561,0.7453107728987234,0.6006055445169836,0.6006055445169836,0.6346031307033873,0.5994697332817713,0.2319553852081299,0.013993644714355468,0.8740859462718784,2.1170508302537696,0.871628095018243,2.1680994498600343
LSTM,0.15259353938533088,0.41730038307746115,0.41730038307746115,0.22011967894747975,0.26174310803583517,0.1553921671382669,0.4069584279347741,0.4069584279347741,0.19242705892008533,0.25320012329756464,30.3771399974823,0.199653959274292,0.7400012300851102,1.65529304929107,0.708201381374437,1.6849061460024437
BLSTM,0.1670524753891021,0.42939769881764667,0.42939769881764667,0.278617747077356,0.3030386141438794,0.1637203378053298,0.40756975270771445,0.40756975270771445,0.26465193731093906,0.29333752846557226,45.20556106567383,0.2623588085174561,0.7699382187731174,1.5783545586110974,0.7576143524147877,1.6138803226085876
