,pp,df,rg,fc,dh,sh,fcxr,mfcr,if
eval_accuracy,0.9968203497615262,0.6327474560592045,0.5435931307793923,0.2223898611949306,0.8767123287671232,0.9210526315789473,0.6247390396659708,0.7772194304857621,0.75
eval_precision,0.5211970074812967,0.3855693348365276,0.6531746031746032,0.8063457330415755,0.41935483870967744,0.1320754716981132,0.5259226713532513,0.5778331257783312,0.1978021978021978
