,Metrics,Values,Model
0,eval_balanced_accuracy,0.24541290900854504,Bayesian Gaussian Mixture Model
1,eval_absolute_accuracy,0.46569900687547744,Bayesian Gaussian Mixture Model
2,eval_recall,0.46569900687547744,Bayesian Gaussian Mixture Model
3,eval_precision,0.44891625102982713,Bayesian Gaussian Mixture Model
4,eval_f1,0.37379023842595077,Bayesian Gaussian Mixture Model
5,eval_fit_time,35.85415244102478,Bayesian Gaussian Mixture Model
6,eval_score_time,0.020012855529785156,Bayesian Gaussian Mixture Model
