,pp,df,rg,fc,dh,sh,fcxr,mfcr,if
eval_accuracy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_precision,0.0,0.0,0.3469824293353705,0.0,0.0,0.0,0.0,0.0,0.0
